human	mouse	corrs
PDE4A	Pde4a	0.36411035962496
GLYAT	Glyat	1
HEY1	Hey1	1
VEGFB	Vegfb	1
PAX9	Pax9	1
C2orf50	2410004P03Rik	1
DPYSL3	Dpysl3	0.788122511919081
DNAAF1	Dnaaf1	1
ALOXE3	Aloxe3	0.65113908062334
DOT1L	Dot1l	1
GIMAP7	Gimap9	1
TUBA1B	Tuba1b	1
CERS5	Cers5	1
FAM9B	Xlr3a	0.65113908062334
EBF1	Ebf1	0.832729434077522
TAF1C	Taf1c	1
MOK	Ick	1
FAM181A	Fam181a	1
STXBP5L	Stxbp5l	0.894555882144042
RHOBTB3	Rhobtb3	1
ZDHHC21	Zdhhc21	1
RNF167	Rnf167	1
TRPV4	Trpv4	0.652261925887254
ABCD3	Abcd3	1
KRAS	Kras	0.781260357180454
DCAF17	Dcaf17	1
GBP4	Gbp3	1
TRARG1	Tusc5	1
YIPF3	Yipf3	1
ZNF93	5430403G16Rik	1
EPHB1	Epha4	0.76927605850817
MLXIP	Mlxip	1
CMKLR1	Cmklr1	1
BHLHA9	Bhlha9	1
PTPN4	Ptpn4	1
OSCP1	Oscp1	1
FBXW2	Fbxw2	1
TRIM45	Trim45	1
RPAP2	Rpap2	1
AMPD1	Ampd1	0.956773938240723
SMAP2	Smap2	1
RAB3A	Rab3a	1
ASAP3	Asap3	0.886968093178083
PEF1	Pef1	1
LRP5	Lrp5	0.874640379195906
DCXR	Cbr2	1
TIMMDC1	Timmdc1	1
IL12A	Il12a	1
FAM133B	Fam133b	0.74040776198317
INPP5E	Inpp5e	1
CLIC4	Clic4	1
PLP2	Plp2	1
ATIC	Atic	1
KLHL20	Klhl20	1
HOXA5	Hoxa5	1
SIRT2	Sirt2	0.66639590806466
KRT40	Krt40	1
FAM227A	Fam227a	1
WDR78	Wdr78	1
SLC30A2	Slc30a2	1
ANKRD39	Ankrd39	1
ISX	Isx	0.995424431212475
MTOR	Mtor	1
CCHCR1	Cchcr1	1
RGL2	Rgl2	1
MORC2	Morc2a	1
KIF5A	Kif5a	1
KCNMB2	Kcnmb2	1
RPS15	Rps15	1
ZP1	Zp1	0.439192612166447
HNRNPR	Hnrnpr	1
IFRD2	Ifrd2	1
HYKK	Hykk	1
XKRX	Xkrx	0.692734655409341
HSPA6	Hspa1a	0.388841844582925
RPL15	Rpl15	1
RPH3AL	Rph3al	1
DNAH7	Dnah7b	1
CDNF	Cdnf	1
MLLT11	Mllt11	1
PLXNA2	Plxna2	1
OR10X1	Olfr417	1
RRM2	Rrm2	0.761229829357171
CNTN2	Cntn3	1
CLIC3	Clic3	1
TTLL8	Ttll8	1
KRTAP4-1	Gm10024	0.65113908062334
NOX4	Nox4	1
RAG1	Rag1	1
VN1R5	Vmn1r16	1
GGT6	Ggt6	1
FSCN1	Fscn1	0.553501878411303
PDCL3	Pdcl3	1
CPEB4	Cpeb2	1
TCP11L1	Tcp11l1	1
C11orf97	1700012B09Rik	1
WI2-2373I1.2	Gm5294	1
MXD4	Mxd4	1
LPXN	Lpxn	1
HNRNPH3	Hnrnph3	1
BCL2A1	Bcl2a1c	1
ACKR1	Ackr1	1
CCDC154	Ccdc154	1
SYT1	Syt2	1
SLC28A2	Slc28a1	1
RPS16	Rps16	1
HEYL	Heyl	1
DUSP27	Dusp27	1
EVI2B	Evi2b	1
C3orf80	1110032F04Rik	1
KRTAP17-1	Krtap17-1	1
FCGBP	9530053A07Rik	1
AIM2	Aim2	1
C12orf43	2210016L21Rik	1
IRS1	Irs1	1
UGT1A9	Ugt1a10	1
ACVR1C	Acvr1c	0.760374724580386
RTN1	Rtn1	1
FBXO47	Fbxo47	1
C4BPA	C4bp	1
FAM206A	Fam206a	1
BTBD19	Btbd19	1
COL3A1	Col3a1	0.65113908062334
ELAC2	Elac2	1
RAP1GAP2	Rap1gap2	0.392572181003018
CALR4P	Calr4	1
PPRC1	Pprc1	1
HOXB4	Hoxb4	0.771478306516862
DUSP10	Dusp10	1
KLHL3	Klhl3	0.716788808001953
REN	Ren1	1
WDR26	Wdr26	1
MPC1	Mpc1	1
MMADHC	Mmadhc	1
EEPD1	Eepd1	1
NFE2L2	Nfe2l2	1
OMG	Omg	1
ABHD4	Abhd4	1
SLC39A13	Slc39a13	1
GGT2	Ggt1	0.796322374988261
CCR2	Ccr2	0.886548237873129
NRARP	Nrarp	1
MEN1	Men1	1
EPHB3	Ephb3	1
TCF4	Tcf4	0.839375430769164
POU2F2	Pou2f2	1
PIGG	Pigg	1
VSX2	Vsx1	0.543517661723444
FTSJ1	Ftsj1	1
PLP1	Plp1	1
DIDO1	Dido1	0.848913295800379
BSDC1	Bsdc1	1
TMX2	Tmx2	1
ST8SIA1	St8sia1	1
SLC22A12	Slc22a12	0.994878987848681
SERPINB9	Gm11397	1
CDH23	Cdh23	0.17223188813972
FAM187B	Fam187b	1
ZCCHC10	Zcchc10	1
F2	F2	1
DRGX	Prrxl1	1
CCDC174	Ccdc174	1
C1QTNF5	C1qtnf5	1
TADA2B	Tada2b	1
SZRD1	Szrd1	1
SULT1A2	Sult1a1	0.764025196630172
RYR3	Ryr3	0.607744953047708
VSIG4	Vsig4	1
NR2C2	Nr2c1	0.327660066867083
FAM114A1	Fam114a1	1
CUX2	Cux2	0.581701330443445
AGMAT	Agmat	1
ZNF830	Zfp830	1
MTNR1A	Mtnr1a	1
TMEM121	Tmem121	1
CRCP	Crcp	1
HOXA2	Hoxa2	1
RNF44	Rnf44	1
ATF7IP	Atf7ip	1
SCUBE3	Scube3	0.658692220473659
NPR2	Npr2	0.725906011393641
FOXQ1	Foxq1	1
FLT3	Flt3	1
HOXA10	Hoxa10	1
TCERG1	Tcerg1	1
STEAP4	Steap4	1
IMMP1L	Immp1l	1
UGT1A10	Ugt1a8	0.799657935896507
HMGCLL1	Hmgcll1	0.867821247231818
UGT1A5	Ugt1a1	1
RCC1	Rcc1	1
ESPN	Espn	0.56324121570296
CSTF2	Cstf2	1
MUL1	Mul1	1
ITGB6	Itgb6	0.911320448749614
CACNG4	Cacng4	1
FAM117A	Fam117a	1
GALR2	Galr2	0.520546573623631
SOHLH2	Sohlh2	1
HDAC1	Hdac1	0.899894446285715
HOXB3	Hoxb3	0.822372731318064
ZNFX1	Znfx1	1
PTPRS	Ptprs	0.559148580445904
KLC1	Klc1	1
KRT33A	Krt33a	1
STK10	Stk10	1
FBXL5	Fbxl5	1
PANK2	Pank2	0.551565467295086
KNDC1	Kndc1	1
COX7B2	Cox7b2	1
CSTF3	Cstf3	1
EEF1B2	Eef1b2	1
DENND1B	Dennd1b	1
SLC26A11	Slc26a11	1
ORAI1	Orai1	1
SEMA4A	Sema4a	1
MAP7D1	Map7d1	1
MMD2	Mmd2	1
GSDMA	Gsdma2	1
SELL	Sell	1
BEGAIN	Begain	1
NMNAT2	Nmnat2	1
HLA-DOA	H2-Oa	1
KIZ	Kiz	1
RHPN2	Rhpn2	1
ARL15	Arl15	1
FGFR3	Fgfr3	0.816386721085819
PYGO2	Pygo2	1
ATP2A1	Atp2a1	0.956247867291798
NRROS	Nrros	1
DHX32	Dhx32	1
C1orf100	1700016C15Rik	1
MCTS1	Mcts2	1
TRMT13	Trmt13	1
TOPORSLP	Toporsl	1
NNAT	Nnat	1
TGFA	Tgfa	1
TCF3	Tcf3	1
CEACAM7	Ceacam10	1
WDR62	Wdr62	0.418220677686833
BHMT	Bhmt2	1
FBXO36	Fbxo36	1
CROCC	Crocc	0.568590828754749
SLC10A6	Slc10a6	1
PKIG	Pkig	1
TTC9B	Ttc9b	1
WIPF3	Wipf3	1
LRRC63	Phlpp1	1
RNF43	Rnf43	1
JADE1	Jade3	1
OR4C6	Olfr1225	1
KIAA2026	9930021J03Rik	1
GREB1	Greb1l	1
MOG	Mog	1
USP33	Usp33	1
MYLPF	Mylpf	0.894121279769228
IL12RB2	Il12rb2	1
OR5AR1	Olfr1019	1
PSMC3	Psmc3	1
CDC42SE1	Cdc42se1	1
CFHR2	Cfhr1	1
DIRAS2	Diras1	1
PROSER1	Proser1	1
CCDC63	Ccdc63	1
COLGALT1	Colgalt1	1
CSTL1	Cstl1	1
CALR	Calr	1
DNAJB2	Dnajb2	1
USP2	Usp2	1
BLCAP	Blcap	1
ALK	Alk	1
SLC25A3	Slc25a3	1
OR5AP2	Olfr1020	1
OR5M1	Olfr1022	0.114023793313441
ANGPTL7	Angptl7	1
RPL7A	Rpl7a	1
TMEM206	Tmem206	1
TMEM128	Tmem128	1
ATP2C1	Atp2c1	0.694356377242975
SIAH1	Siah1b	1
UGT1A8	Ugt1a7c	0.627585348135261
DTD1	Dtd1	1
C5orf47	4930524B15Rik	1
ITPA	Itpa	1
CFI	Cfi	1
N4BP3	N4bp3	1
ARHGAP1	Arhgap1	0.734141172087549
PRODH2	Prodh2	1
ENTPD6	Entpd6	1
SDK1	Sdk1	1
KRT19	Krt19	1
OTP	Otp	1
CLK1	Clk4	1
HECTD3	Hectd3	1
PPP2R5A	Ppp2r5a	0.754337450285378
PLAC9	Plac9b	1
MYH2	Myh3	1
MAP3K14	Map3k14	1
ITGB2	Itgb2l	1
FBXW5	Fbxw5	1
NEK7	Nek7	0.580597586053525
ATG4A	Atg4a	1
EIF5B	Eif5b	1
RABEP2	Rabep2	1
ARPP21	Arpp21	1
CCL23	Ccl6	1
DARS	Dars	1
CTNNBL1	Ctnnbl1	1
SUCNR1	Sucnr1	1
TRAPPC6A	Trappc6a	1
SYT10	Syt6	1
OAZ3	Oaz3	1
PMPCA	Pmpca	1
FSIP2	Gm595	1
AP002495.1	Trpc2	1
DENND5B	Dennd5b	0.868371579477067
FMO6P	Fmo6	0.80372358128857
MSMP	Msmp	1
ADAMTSL3	Adamtsl3	1
CACNG7	Cacng7	1
GPR55	Gpr55	1
IGF2	Igf2	1
ANXA9	Anxa9	1
SELENBP1	Selenbp1	1
THNSL2	Thnsl2	1
OR5M11	Olfr1029	1
DPM3	Dpm3	1
CCL22	Ccl22	1
ALDOC	Aldoc	1
TXNDC5	Txndc5	0.811551394549854
GNG4	Gng4	0.508641888319903
CST11	Cst11	1
TTLL4	Ttll4	1
TMEM177	Tmem177	1
OR4C11	Olfr1230	1
LMLN	Lmln	1
KDM2B	Kdm2b	0.855194932437471
INO80D	Ino80d	1
DHX37	Dhx37	1
SPATA31A1	Gm8674	1
GBA2	Gba2	1
RSL1D1	Rsl1d1	1
MRPS17	Mrps17	1
ST8SIA4	St8sia4	1
ATG16L2	Atg16l2	1
RELT	Relt	1
CES1	Ces1g	1
ZNHIT2	Znhit2	1
MCUR1	Ccdc90b	0.403915401115427
NUDT5	Nudt5	1
AKR1C3	Akr1c19	1
SMAD6	Smad6	1
CRLF3	Crlf3	1
GID8	Gid8	1
HM13	H13	0.592791605040198
SHROOM2	Shroom2	1
TDRKH	Tdrkh	1
ADPRHL1	Adprhl1	1
CYP3A4	Cyp3a25	1
CHPF	Chpf	0.380166513352819
CASK	Cask	1
VASH2	Vash1	1
RPL35A	Rpl35a	1
CSNK2A1	Csnk2a1	1
TPM1	Tpm1	0.895882169179495
SMS	Sms	1
VSTM2L	Vstm2l	1
LRRC1	Lrrc1	1
TIMM17B	Timm17b	1
OR6F1	Olfr308	1
SLC35E1	Slc35e1	1
TM6SF1	Tm6sf1	0.614098844582836
UQCRC2	Uqcrc2	1
SLCO1A2	Slco1a1	1
OBSL1	Obsl1	0.650376903559236
NUP160	Nup160	1
PLSCR2	Plscr2	0.470774884217671
ZC3HAV1	Zc3hav1	1
HSD17B12	Hsd17b12	1
JAG1	Jag1	0.889645375035634
EPHA2	Ephb4	1
RNF213	Rnf213	1
CCIN	Ccin	1
ATP6V1F	Atp6v1f	1
GMCL1	Gmcl1	1
PYCR2	Pycr2	0.757712106374785
HTR2B	Htr2b	1
ANG	Ang5	1
MYL2	Myl2	0.814773466571035
PSMA4	Psma4	1
THBS1	Thbs1	0.779819228140678
TNIP3	Tnip3	1
PALM2-AKAP2	Akap2	1
DLL4	Dll4	1
GTPBP3	Gtpbp3	1
GPA33	Gpa33	1
LTF	Ltf	0.185593290215222
UFL1	Ufl1	1
IRF3	Irf3	1
NR2E3	Nr2e3	1
SLC45A4	Slc45a4	1
TTI1	Tti1	1
RUNX2	Runx2	1
CCR5	Ccr5	0.909084815621201
C20orf173	6430550D23Rik	1
CTNS	Ctns	1
ARHGEF38	Arhgef38	1
MRPS7	Mrps7	1
AGFG2	Agfg2	1
HMGCS2	Hmgcs2	0.915762102833628
SLC17A9	Slc17a9	1
ARHGAP4	Arhgap4	0.893337696271361
BTBD3	Btbd3	0.917533060329139
LEMD3	Lemd3	1
MOBP	Mobp	1
SCP2D1	Scp2d1	0.166749770121059
COG4	Cog4	1
TSR1	Tsr1	1
KIF2C	Kif2c	0.844155255532636
LDB1	Ldb1	0.72086951510734
SLIT2	Slit2	1
MMGT1	Mmgt1	1
PDZD9	Pdzd9	1
FPR2	Fpr2	1
TCERG1L	Tcerg1l	1
AMBRA1	Ambra1	1
ADSS	Adss	0.865707289099064
RNF152	Rnf152	1
GLRA3	Glra2	1
DGKI	Dgki	0.7843309062399
IL13RA2	Il13ra2	1
BHLHE23	Bhlhe23	1
BTBD11	Btbd11	0.737125500323385
GRAMD1C	Gramd1c	1
AFF1	Aff1	1
MAPT	Mapt	1
APBB1IP	Apbb1ip	1
RGL1	Rgl1	0.659473892488671
ZFP36L2	Zfp36l3	1
SPEF2	Spef2	1
ZNF669	Zfp763	1
ZNF790	Zfp940	0.634911463366498
KRTAP3-3	Krtap3-3	1
ALYREF	Gm4301	1
UCHL5	Uchl5	1
PRAMEF5	AC125178.2	1
GRPEL1	Grpel1	1
ABCC1	Abcc1	1
DAZAP1	Dazap1	1
ITPR1	Itpr1	1
TSPYL2	Tspyl2	1
FAN1	Fan1	1
PEX3	Pex3	1
GNAO1	Gnao1	1
CDC123	Cdc123	1
HIRIP3	Hirip3	1
CXCR3	Cxcr3	1
MOGAT2	Mogat2	1
NDUFB4	Ndufb4	1
AVIL	Avil	0.528438106398642
CHRM4	Chrm4	0.752983998260211
KCNN3	Kcnn3	0.770719908829654
SLC24A3	Slc24a3	1
NTRK3	Ntrk1	0.855777949334284
PRKG2	Prkg2	0.697216141609519
PLXDC2	Plxdc2	1
ATP11C	Atp11c	0.452188958428412
LGALS4	Lgals4	1
LY6G6C	Ly6g6c	1
MDK	Mdk	1
RNF24	Rnf24	1
BARHL2	Barhl2	1
LAP3	Lap3	1
MMRN1	Mmrn1	1
PGM2	Pgm1	0.764000876729551
SLC26A8	Slc26a8	1
LY6G6F	Ly6g6f	1
SPIN2B	Spin2c	0.134341319461415
TNS1	Tns1	1
CNDP2	Cndp2	1
CTGF	Ctgf	1
ZNF717	Zfp599	1
RPRD1B	Rprd1b	1
GALNT13	Galnt13	0.718049730914584
KRR1	Krr1	1
TCAF1	Tcaf1	1
PCGF1	Pcgf1	1
NACAD	Nacad	1
TOP2B	Top2a	1
PAX3	Pax3	0.694972203111394
MAGEA9B	4933402E13Rik	1
MNAT1	Mnat1	1
UBD	Ubd	1
KBTBD12	Kbtbd12	1
CACNA1S	Cacna1s	0.953178148708402
PCCB	Pccb	1
RFTN2	Rftn2	1
NAGPA	Nagpa	1
CRLF1	Crlf1	1
BTN2A2	Btn2a2	0.153719065720002
CYP4F3	Cyp4f13	0.828454631759543
CEP250	Cep250	0.82125844493114
DNAJC16	Dnajc16	1
PIGB	Pigb	1
SPRR2F	Sprr2i	0.210136297411674
CD209	Cd209a	1
THSD4	Adamtsl4	1
TNPO1	Tnpo1	0.81558204538685
TRADD	Tradd	1
ZDHHC5	Zdhhc5	1
LGMN	Lgmn	1
CYSLTR1	Cysltr1	1
DND1	Dnd1	1
GATA4	Gata4	0.911015232168493
PDCD6IP	Pdcd6ip	1
PON2	Pon2	0.216374416829824
MSRB2	Msrb2	1
FOXD1	Foxd1	0.82252123781006
HDLBP	Gm382	1
SDHC	Sdhc	1
EMCN	Emcn	1
TBP	Tbp	0.916610221992704
THEMIS	Themis	1
TCTEX1D1	Tctex1d1	1
NELFA	Nelfa	1
SCGB3A1	Scgb3a1	1
RPL41	Rpl41	1
GPX4	Gpx4	1
ALPK2	Alpk2	1
KCNA10	Kcna10	1
IVL	Ivl	1
CPA1	Cpa1	0.314795275781542
TMEM164	Tmem164	1
ANGEL1	Angel1	1
C7orf55-LUC7L2	Luc7l	1
RDH16	Hsd17b6	1
GFRA1	Gfra1	1
PPIL3	Ppil3	1
CHSY1	Chsy1	0.608268425729434
THY1	Thy1	1
UTS2B	Uts2b	1
PHF8	4921501E09Rik	1
SCN7A	Scn7a	0.928160895373281
FADD	Fadd	1
DLGAP5	Dlgap5	1
NDUFS1	Ndufs1	1
LONP2	Lonp2	1
ADA	Ada	1
MARK4	Gm10662	1
ZNF503	Zfp503	0.852097089895748
CYB561	Cyb561	1
GNG2	Gng2	0.849180749423619
UGT2B10	Ugt2b1	1
PIGQ	Pigq	1
AXIN1	Axin1	1
CDS2	Cds2	0.791781298183413
GMEB1	Gmeb1	1
APH1B	Aph1c	1
YTHDF1	Ythdf1	1
AVEN	Aven	1
CCDC121	Ccdc121	1
KRT9	Krt9	1
LIPT2	Lipt2	1
WIF1	Wif1	1
SERAC1	Serac1	1
FGFBP3	Fgfbp3	1
GGCX	Ggcx	1
SUN1	Sun1	1
STRN	Strn	1
SNAP47	Snap47	1
CCDC73	Ccdc73	1
MRPL1	Mrpl1	1
ADGRL3	Adgrl3	0.733929539889191
PICK1	Pick1	1
SPAG17	Spag17	1
ME1	Me1	0.741195376124423
BRSK1	Brsk1	0.91171928627533
PPP3R2	Ppp3r2	0.773346967814235
CSMD3	Csmd1	1
RWDD1	Rwdd1	1
ENDOV	Endov	1
WDR53	Wdr53	1
ASS1	Ass1	1
TMEM50B	Tmem50b	0.652243604025696
PKP4	Pkp4	0.790174275865189
POGZ	Pogz	1
HGS	Hgs	1
LZTS1	Lzts1	1
RNF149	Rnf149	1
BCL7C	Bcl7c	1
MED24	Med24	1
FAXC	Faxc	1
GRIN3A	Grin3a	1
LRRC74B	Lrrc74b	1
BUD13	Bud13	1
PTPRT	Ptprt	1
TRPC5	Trpc5	1
JADE2	Jade2	0.861163612091116
PCDH7	Pcdh7	0.496447183279082
SYN1	Syn1	1
GPR88	Gpr88	1
ADRM1	Gm9774	1
SERPINF1	Serpinf1	1
ARMC9	Armc9	1
TIMD4	Timd4	1
UBASH3B	Ubash3b	1
FLT1	Flt1	0.623624988590887
SMG6	Smg6	1
DUSP5	Dusp5	1
SLC19A1	Slc19a1	1
PLXNA4	Plxna4	1
SLITRK2	Slitrk4	1
APBB1	Apbb1	1
FUT10	Fut10	1
CIAO2A	Fam96a	1
RUSC1	Rusc1	1
TGFBR1	Tgfbr1	0.502973668411476
RAMP3	Ramp3	1
PROX2	Prox2	1
RRAGD	Rragd	0.757621769438783
RXRB	Rxrb	0.662035557779604
CELF2	Celf2	1
MARCH1	March1	0.884927757749923
PROP1	Prop1	1
MYL12B	Myl12b	0.748909598796329
HIST1H2AH	Hist1h2ah	1
PAMR1	Pamr1	1
SPIN2A	Spin2-ps6	1
NIPAL4	Nipal4	1
ANAPC1	Anapc1	1
MIF4GD	Mif4gd	1
APELA	Apela	0.795695867397389
MUC4	Muc4	1
KRT16	Krt14	1
SLC18B1	Slc18b1	1
LRRTM3	Lrrtm4	1
TBX2	Tbx2	0.843584022953235
UNCX	Uncx	1
ECE1	Ece1	0.262201328942109
STOML2	Stoml2	1
HBB	Hbb-bs	1
SEC61A2	Sec61a2	0.577689036061236
CNBP	Cnbp	1
MAP6	Map6	1
BAHCC1	Bahcc1	1
GALNT1	Galnt1	0.226357319397526
SCLY	Scly	1
INO80E	Ino80e	1
FAM43A	Fam43a	1
AP1G1	Ap1g1	0.815142257850223
PANK3	Pank3	0.577689299806413
ATP2B3	Atp2b2	1
CDC42	Cdc42	1
DTX1	Dtx1	0.626320727157724
HESX1	Hesx1	1
SARM1	Sarm1	1
HLF	Hlf	1
FHDC1	Fhdc1	1
TGM2	Tgm2	0.885363032349032
EXOC6B	Exoc6b	0.773073951231949
FHL5	Fhl5	1
LIMCH1	Limch1	1
IQCA1	Iqca	1
SLC43A1	Slc43a1	1
RPL22	Rpl22	1
ABL2	Abl2	0.624267719898072
C9orf3	2010111I01Rik	1
PSMA5	Psma5	1
GLIPR1	Glipr1	1
PRDM1	Prdm1	1
ALKBH6	Alkbh6	1
OR5D18	Olfr1170	1
C15orf65	Ccpg1os	1
FNDC8	Fndc8	1
ATRN	Atrn	1
C11orf94	1700029I15Rik	1
DPM1	Dpm1	1
SLC1A4	Slc1a4	1
SYPL1	Sypl	1
EIF3M	Eif3m	1
TENM4	Tenm4	0.65113908062334
AK1	Ak1	1
PPIAL4D	Gm12728	0.709121367578286
SSX1	Gm14459	0.65113908062334
HIST1H3G	Hist1h3c	0.65113908062334
FAM129C	Fam129c	1
LRMP	Lrmp	1
PSMB3	Psmb3	1
ZNRD1ASP	Znrd1as	1
NDRG1	Ndrg1	1
ARHGDIG	Arhgdig	1
SLCO2B1	Slco2b1	1
MAPK8IP1	Mapk8ip1	1
TICAM1	Ticam1	1
ZNF569	Zfp60	1
SF3B5	Sf3b5	1
SLC16A13	Slc16a13	1
FSD1L	Fsd1l	0.622611217447652
MRPL52	Mrpl52	1
SLC25A5	Slc25a5	0.861384828690925
NDUFS6	Ndufs6	1
ZNF771	Zfp771	1
CLK3	Clk3	1
TSEN2	Tsen2	1
ACOX3	Acox3	1
BRAF	Braf	1
WISP2	Wisp2	1
GPIHBP1	Gpihbp1	1
AIFM2	Aifm2	1
MTFMT	Mtfmt	1
SSU72	Ssu72	1
HDC	Hdc	1
LHX9	Lhx9	0.663984574836831
AGRN	Agrn	1
HJURP	Hjurp	1
PDIA2	Pdia2	1
B3GNTL1	B3gntl1	1
SH3BP2	Sh3bp2	1
ARHGDIB	Arhgdib	1
MCMBP	Mcmbp	1
MYL12A	Myl12a	0.837716166053948
KCNK15	Kcnk15	1
CCPG1	Ccpg1	1
HBG2	Hbb-y	1
TFAP2E	Tfap2e	1
PLA2G12A	Pla2g12a	1
NKAIN4	Nkain4	1
TMEM222	Tmem222	1
GIMAP1-GIMAP5	Gimap5	0.557693810367306
KIF21B	Kif21b	1
NUAK2	Smok3c	1
MUC20	Muc20	1
TPP2	Tpp2	1
TMEM203	Tmem203	1
MARCH3	March3	0.584676484472266
EHF	Ehf	1
RIMS4	Rims4	1
SERPINB3	Serpinb3a	1
FAM163B	Fam163b	1
KPNA7	Kpna7	1
C17orf97	1700016K19Rik	1
GSTO1	Gsto2	1
LCE1B	Lce1d	1
SLK	Slk	1
GIP	Gip	1
MRGPRX1	Mrgprx2	1
PSMF1	Psmf1	1
C1orf54	BC028528	1
PKD2L1	Pkd2l1	0.442500686239496
CXCR2	Cxcr1	1
FMO1	Fmo1	1
LCN8	Lcn8	1
TNFRSF14	Tnfrsf14	1
EIF3I	Eif3i	1
SRSF3	Srsf3	1
TVP23C	Tvp23b	0.775752980639792
BCCIP	Bccip	1
MTA2	Mta3	1
RBBP5	Rbbp5	1
FANCC	Fancc	1
USP35	Usp35	1
SNRNP200	Snrnp200	0.744847650685505
RPRML	Rprml	1
CIART	Ciart	1
TMEM198	Tmem198	1
NPTX1	Nptx1	1
PTGIS	Ptgis	1
UBE2C	Ube2c	1
AP5Z1	Ap5z1	1
PAG1	Pag1	1
ANGPTL3	Angptl3	1
ABLIM1	Ablim1	0.797086197591874
KCNAB1	Kcnab3	1
SMIM29	AI413582	1
KIAA1755	D630003M21Rik	1
PROB1	Prob1	1
ADAMTS18	Adamts18	1
ALPI	Alpi	0.65113908062334
RHOXF2	Rhox4b	1
RCBTB1	Herc2	1
NBEAL2	Nbeal2	1
CASP2	Casp2	1
C1orf112	BC055324	1
CISD1	Cisd1	1
ZKSCAN1	Zkscan1	1
MYH6	Myh7	1
UROS	Uros	1
CUBN	Cubn	0.792896782072936
ZNF778	Zfp961	1
NR1H4	Nr1h4	1
MGAT4B	Mgat4b	0.497689579507305
CLIP1	Clip1	0.652051088037736
KY	Ky	1
ZNF750	Zfp750	1
TMCC2	Tmcc2	1
DLEC1	Dlec1	1
RIN2	Rin2	1
SH3BP4	Sh3bp4	0.629093685908211
NRF1	Nrf1	1
CATIP	Catip	1
SP140L	A630001G21Rik	0.65113908062334
RRH	Rrh	1
BCO2	Bco2	1
PGLS	Pgls	1
XRN2	Xrn2	1
HIST1H4H	Hist1h4n	0.65113908062334
TNXB	Tnxb	1
EDEM3	Edem3	1
STK11IP	Stk11ip	1
PML	Pml	1
DMGDH	Dmgdh	1
HOXD9	Hoxd9	1
DSCAM	Dscaml1	1
FREM2	Frem2	0.733384687236245
FZD9	Fzd9	1
AIMP1	Aimp1	1
CD55	Cd55	1
PILRA	Pilrb2	1
EVX1	Evx1	0.734626322752258
LIG1	Lig1	1
PCID2	Pcid2	1
KMT2E	Kmt2e	1
CHAC1	Chac1	1
TOMM6	Tomm6	1
NLE1	Nle1	1
CTF2P	Ctf2	1
TNNC2	Tnnc2	1
